subject,electrode,roi,effect,cluster_idx,sign,extent_windows,cluster_onset,cluster_offset,cluster_p_value,peak_F,peak_time,cluster_p_fdr,sig_after_fdr
D0071,RIP6,lpfc,C(congruency):C(switchProportion),-1,0,0,,,1.0,5.452007659742075,0.5625,1.0,False
D0071,RO1,occ,C(congruency),-1,0,0,,,1.0,2.7570939149756746,0.75,1.0,False
D0071,RO1,occ,C(switchProportion),0,-1,8,-0.125,0.3125,0.012,17.1869064035111,0.9375,0.098,False
D0071,RO1,occ,C(switchProportion),1,-1,10,0.6875,1.25,0.002,17.1869064035111,0.9375,0.03266666666666667,True
D0071,RO1,occ,C(congruency):C(switchProportion),-1,0,0,,,1.0,4.895740143097085,0.0,1.0,False
D0071,RO10,occ,C(congruency),-1,0,0,,,1.0,6.555419631721748,-0.8125,1.0,False
D0071,RO10,occ,C(switchProportion),-1,0,0,,,1.0,3.779904710815491,-0.125,1.0,False
D0071,RO10,occ,C(congruency):C(switchProportion),0,-1,15,-0.875,0.0,0.0,12.385823763927938,-0.5,0.0,True
D0071,RO10,occ,C(congruency):C(switchProportion),1,-1,6,0.875,1.1875,0.018,12.385823763927938,-0.5,0.2304,False
D0071,RO2,occ,C(congruency),-1,0,0,,,1.0,3.1832647697531464,0.6875,1.0,False
D0071,RO2,occ,C(switchProportion),0,-1,6,0.75,1.0625,0.016,12.322777445440225,0.875,0.112,False
D0071,RO2,occ,C(congruency):C(switchProportion),-1,0,0,,,1.0,4.7045473002269675,-0.8125,1.0,False
D0077,ROPI6,occ,C(congruency),-1,0,0,,,1.0,10.161016654201722,-0.1875,1.0,False
D0077,ROPI6,occ,C(switchProportion),-1,0,0,,,1.0,4.021558265517001,0.5625,1.0,False
D0077,ROPI6,occ,C(congruency):C(switchProportion),-1,0,0,,,1.0,8.34886739165009,1.375,1.0,False
D0077,ROPI8,occ,C(congruency),-1,0,0,,,1.0,4.349228764486167,0.4375,1.0,False
D0077,ROPI8,occ,C(switchProportion),-1,0,0,,,1.0,4.401202205082382,-0.125,1.0,False
D0077,ROPI8,occ,C(congruency):C(switchProportion),-1,0,0,,,1.0,7.5936530561501305,-0.3125,1.0,False
D0077,ROPM1,occ,C(congruency),-1,0,0,,,1.0,4.2035971151863265,0.5,1.0,False
D0077,ROPM1,occ,C(switchProportion),0,-1,6,0.25,0.5625,0.042,13.815826691277925,1.1875,0.21559999999999999,False
D0077,ROPM1,occ,C(switchProportion),1,-1,12,0.6875,1.375,0.002,13.815826691277925,1.1875,0.03266666666666667,True
D0077,ROPM1,occ,C(congruency):C(switchProportion),-1,0,0,,,1.0,9.380537470785152,0.5625,1.0,False
D0077,ROPM8,occ,C(congruency),-1,0,0,,,1.0,4.286075232243812,0.4375,1.0,False
D0077,ROPM8,occ,C(switchProportion),-1,0,0,,,1.0,5.657054159549293,0.125,1.0,False
D0077,ROPM8,occ,C(congruency):C(switchProportion),-1,0,0,,,1.0,6.9797477004057855,0.75,1.0,False
D0077,ROPM9,occ,C(congruency),-1,0,0,,,1.0,4.91366704220701,-0.4375,1.0,False
D0077,ROPM9,occ,C(switchProportion),-1,0,0,,,1.0,6.692668336144019,0.1875,1.0,False
D0077,ROPM9,occ,C(congruency):C(switchProportion),-1,0,0,,,1.0,6.326565945762182,-0.8125,1.0,False
D0090,RIA11,lpfc,C(congruency),-1,0,0,,,1.0,3.164895023155136,1.125,1.0,False
D0090,RIA11,lpfc,C(switchProportion),-1,0,0,,,1.0,4.247683712878112,1.25,1.0,False
D0090,RIA11,lpfc,C(congruency):C(switchProportion),0,-1,20,0.125,1.3125,0.0,13.975730918502428,1.125,0.0,True
D0090,RIA6,lpfc,C(congruency),-1,0,0,,,1.0,2.5123056347616988,1.375,1.0,False
D0090,RIA6,lpfc,C(switchProportion),-1,0,0,,,1.0,5.028751953560142,1.125,1.0,False
D0090,RIA6,lpfc,C(congruency):C(switchProportion),0,-1,10,0.6875,1.25,0.0,7.810863721939551,1.125,0.0,True
D0090,RTPI2,occ,C(congruency),-1,0,0,,,1.0,2.900232907516258,-0.1875,1.0,False
D0090,RTPI2,occ,C(switchProportion),-1,0,0,,,1.0,4.319342652837339,-0.75,1.0,False
D0090,RTPI2,occ,C(congruency):C(switchProportion),0,-1,9,0.875,1.375,0.002,12.182660190055275,1.0625,0.048,True
D0090,RTPO1,occ,C(congruency),-1,0,0,,,1.0,9.84983254769451,-0.875,1.0,False
D0090,RTPO1,occ,C(switchProportion),-1,0,0,,,1.0,7.444978760044236,0.1875,1.0,False
D0090,RTPO1,occ,C(congruency):C(switchProportion),-1,0,0,,,1.0,8.034168682047369,0.875,1.0,False
D0094,LFAI10,lpfc,C(congruency),0,1,7,0.1875,0.5625,0.018,11.019913537773755,1.375,0.06111627906976744,False
D0094,LFAI10,lpfc,C(congruency),1,-1,6,1.0625,1.375,0.03,11.019913537773755,1.375,0.09319148936170212,False
D0094,LFAI10,lpfc,C(switchProportion),0,-1,8,0.3125,0.75,0.004,14.973822565508904,0.375,0.034823529411764705,True
D0094,LFAI10,lpfc,C(switchProportion),1,-1,7,1.0,1.375,0.014,14.973822565508904,0.375,0.0627878787878788,False
D0094,LFAI10,lpfc,C(congruency):C(switchProportion),-1,0,0,,,1.0,5.749156079028074,1.125,1.0,False
D0094,LFAI9,lpfc,C(congruency),0,-1,5,1.125,1.375,0.05,8.883251042957504,1.375,0.1280701754385965,False
D0094,LFAI9,lpfc,C(switchProportion),0,-1,8,0.25,0.6875,0.006,15.615523918209128,0.375,0.04228571428571429,True
D0094,LFAI9,lpfc,C(switchProportion),1,-1,8,0.9375,1.375,0.006,15.615523918209128,0.375,0.04228571428571429,True
D0094,LFAI9,lpfc,C(congruency):C(switchProportion),-1,0,0,,,1.0,4.336527733665522,0.0,1.0,False
D0094,LFAM10,lpfc,C(congruency),0,1,5,-0.25,0.0,0.046,7.551969806849522,-0.125,0.11992857142857144,False
D0094,LFAM10,lpfc,C(switchProportion),0,-1,6,1.0625,1.375,0.034,12.53127579445113,0.0,0.11182222222222223,False
D0094,LFAM10,lpfc,C(congruency):C(switchProportion),-1,0,0,,,1.0,10.084895777976016,1.3125,1.0,False
D0094,LFAM8,lpfc,C(congruency),-1,0,0,,,1.0,3.924071735813324,0.5625,1.0,False
D0094,LFAM8,lpfc,C(switchProportion),0,-1,8,0.3125,0.75,0.006,15.124017704420993,0.5,0.04228571428571429,True
D0094,LFAM8,lpfc,C(congruency):C(switchProportion),0,1,6,1.0,1.3125,0.028,8.906895206509297,1.1875,0.1144,False
D0094,LFAM9,lpfc,C(congruency),-1,0,0,,,1.0,4.276377749905222,0.875,1.0,False
D0094,LFAM9,lpfc,C(switchProportion),0,-1,7,-0.25,0.125,0.01,7.233183877798128,-0.0625,0.05285714285714285,False
D0094,LFAM9,lpfc,C(congruency):C(switchProportion),-1,0,0,,,1.0,2.9042519623169234,1.3125,1.0,False
D0094,LFPI10,lpfc,C(congruency),-1,0,0,,,1.0,5.3173927708542,1.1875,1.0,False
D0094,LFPI10,lpfc,C(switchProportion),-1,0,0,,,1.0,5.719356014197711,-0.4375,1.0,False
D0094,LFPI10,lpfc,C(congruency):C(switchProportion),-1,0,0,,,1.0,7.52390194861385,1.375,1.0,False
D0094,LFPM10,lpfc,C(congruency),-1,0,0,,,1.0,4.235151833105229,0.375,1.0,False
D0094,LFPM10,lpfc,C(switchProportion),-1,0,0,,,1.0,6.073361936546007,0.5,1.0,False
D0094,LFPM10,lpfc,C(congruency):C(switchProportion),-1,0,0,,,1.0,5.846490390457296,0.4375,1.0,False
D0094,LFPM11,lpfc,C(congruency),-1,0,0,,,1.0,4.336251060564441,0.5625,1.0,False
D0094,LFPM11,lpfc,C(switchProportion),-1,0,0,,,1.0,10.832416331081458,0.4375,1.0,False
D0094,LFPM11,lpfc,C(congruency):C(switchProportion),-1,0,0,,,1.0,4.189597255762802,0.3125,1.0,False
D0094,LFPM12,lpfc,C(congruency),-1,0,0,,,1.0,4.631302499553685,-0.875,1.0,False
D0094,LFPM12,lpfc,C(switchProportion),0,1,5,0.3125,0.5625,0.05,13.92422178416456,0.4375,0.13214285714285715,False
D0094,LFPM12,lpfc,C(congruency):C(switchProportion),-1,0,0,,,1.0,3.8600724632912886,0.3125,1.0,False
D0094,LIA11,lpfc,C(congruency),-1,0,0,,,1.0,3.0638292854813383,0.5,1.0,False
D0094,LIA11,lpfc,C(switchProportion),-1,0,0,,,1.0,15.367032493014587,1.375,1.0,False
D0094,LIA11,lpfc,C(congruency):C(switchProportion),-1,0,0,,,1.0,13.626866745941113,1.375,1.0,False
D0100,LOAI12,occ,C(congruency),0,-1,12,0.6875,1.375,0.0,12.075251738617826,0.875,0.0,True
