ch1,ch2,n_A,n_B,mean_A,mean_B,mean_diff,time_window,perm_n,perm_pval,perm_method,perm_significant,perm_exclude_self,perm_alternative,perm_q_bh,perm_significant_bh
RAI5,LASF14,1,1,0.5215579639061475,0.5026074546968263,0.018950509209321176,"(-1.0,-0.5)",1260,1.0,without_replacement,False,True,greater,1.0,False
RAI5,LASF15,1,1,0.5193446899757259,0.502108794547014,0.017235895428711956,"(-1.0,-0.5)",1260,0.99,without_replacement,False,True,greater,1.0,False
RAI5,LASF16,1,1,0.5007534539251566,0.5254119480269206,-0.024658494101764017,"(-1.0,-0.5)",1260,0.99,without_replacement,False,True,greater,1.0,False
RAI5,LMSF12,1,1,0.5148177543877099,0.5346706545406112,-0.01985290015290131,"(-1.0,-0.5)",1260,0.46,without_replacement,False,True,greater,1.0,False
RAI5,LMSF5,1,1,0.4929800011063669,0.4829991733523763,0.009980827753990618,"(-1.0,-0.5)",1260,1.0,without_replacement,False,True,greater,1.0,False
RAI5,LMSF6,1,1,,0.4874869079476175,,"(-1.0,-0.5)",1191,1.0,without_replacement,False,True,greater,1.0,False
RAI5,LPSF10,1,1,0.4814356647385238,0.4984993138293307,-0.01706364909080693,"(-1.0,-0.5)",1260,1.0,without_replacement,False,True,greater,1.0,False
RAI5,LPSF12,1,1,0.5273816702277855,0.5333480673446721,-0.005966397116886624,"(-1.0,-0.5)",1260,0.105,without_replacement,False,True,greater,0.3133333333333333,False
RAI5,RAI10,1,1,0.5548812764858633,0.5211963918944318,0.033684884591431485,"(-1.0,-0.5)",1260,0.005,without_replacement,True,True,greater,0.0188,True
RAI5,RAI11,1,1,0.5543048590939924,0.5128039462274778,0.04150091286651458,"(-1.0,-0.5)",1260,0.02,without_replacement,True,True,greater,0.06962962962962964,False
RAI5,RAI16,1,1,0.4980584328767649,0.5300284228975549,-0.03196999002079004,"(-1.0,-0.5)",1260,0.98,without_replacement,False,True,greater,1.0,False
RAI5,RAI4,1,1,0.5276459625700618,0.5323979450749341,-0.0047519825048722986,"(-1.0,-0.5)",1260,0.11,without_replacement,False,True,greater,0.323125,False
RAI5,RAI6,1,1,0.5594872789279003,0.5132382889396802,0.046248989988220135,"(-1.0,-0.5)",1260,0.0,without_replacement,True,True,greater,0.0,True
RAI5,RAMF10,1,1,0.520641269565824,0.4816858007205819,0.03895546884524209,"(-1.0,-0.5)",1260,1.0,without_replacement,False,True,greater,1.0,False
RAI5,RAMF11,1,1,0.513083865980134,0.5543052920616625,-0.041221426081528456,"(-1.0,-0.5)",1260,0.02,without_replacement,True,True,greater,0.06962962962962964,False
RAI5,RAMF12,1,1,0.5064069814893348,0.528999580992266,-0.022592599502931132,"(-1.0,-0.5)",1260,0.87,without_replacement,False,True,greater,1.0,False
RAI5,RAMF13,1,1,0.4984467543814557,0.5023247648742862,-0.0038780104928305414,"(-1.0,-0.5)",1260,1.0,without_replacement,False,True,greater,1.0,False
RAI5,RAMF14,1,1,0.4778025949955192,0.5629992620214882,-0.08519666702596901,"(-1.0,-0.5)",1260,0.78,without_replacement,False,True,greater,1.0,False
RAI5,RAMF8,1,1,0.4965753242022146,0.5096957434989581,-0.013120419296743457,"(-1.0,-0.5)",1260,1.0,without_replacement,False,True,greater,1.0,False
RAI5,RAMF9,1,1,0.5187117796229913,0.489585283805336,0.029126495817655307,"(-1.0,-0.5)",1260,1.0,without_replacement,False,True,greater,1.0,False
RAI5,RASF15,1,1,0.505205137509334,0.4720711894196512,0.03313394808968284,"(-1.0,-0.5)",1260,1.0,without_replacement,False,True,greater,1.0,False
RAI5,RASF16,1,1,0.5033173870231493,0.4845323738981352,0.018785013125014127,"(-1.0,-0.5)",1260,1.0,without_replacement,False,True,greater,1.0,False
RAI5,RMMF10,1,1,0.5428655387367658,0.484356021147333,0.05850951758943279,"(-1.0,-0.5)",1260,0.995,without_replacement,False,True,greater,1.0,False
RAI5,RMMF13,1,1,0.4935638015979681,0.5115535200615414,-0.017989718463573334,"(-1.0,-0.5)",1260,1.0,without_replacement,False,True,greater,1.0,False
RAI5,RMMF14,1,1,0.4744398039473871,0.4819722105442025,-0.007532406596815366,"(-1.0,-0.5)",1260,1.0,without_replacement,False,True,greater,1.0,False
RAI5,RMMF9,1,1,0.480259827288909,0.5062982921222046,-0.026038464833295583,"(-1.0,-0.5)",1260,1.0,without_replacement,False,True,greater,1.0,False
RAI5,RMSF10,1,1,0.5436762116703017,0.5113123028322326,0.032363908838069055,"(-1.0,-0.5)",1260,0.225,without_replacement,False,True,greater,0.6130434782608696,False
RAI5,RMSF11,1,1,0.4872896369456153,0.4771009479670116,0.0101886889786037,"(-1.0,-0.5)",1260,1.0,without_replacement,False,True,greater,1.0,False
RAI5,RMSF12,1,1,0.5006379147700512,0.4672735622894293,0.03336435248062186,"(-1.0,-0.5)",1260,1.0,without_replacement,False,True,greater,1.0,False
